geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TE4G06140,70.87837688,2.332918856,0.317901251,7.338501663,2.16E-13,6.38E-13
TE3G32050,281.3917558,1.187668635,0.161870785,7.337140129,2.18E-13,6.45E-13
TE3G01290,8216.13694,0.378460556,0.05160918,7.333202282,2.25E-13,6.64E-13
TE2G21500,1213.400619,-0.620529362,0.084652942,-7.33027524,2.30E-13,6.78E-13
TE1G13440,1341.905907,-0.56981907,0.077771646,-7.326822773,2.36E-13,6.96E-13
TE3G02530,10059.3765,0.427483533,0.058355549,7.325499269,2.38E-13,7.03E-13
TE1G43410,401.353931,0.882660464,0.120496502,7.325195765,2.39E-13,7.04E-13
TE2G41610,61.35273474,-2.336281792,0.319127013,-7.320852502,2.46E-13,7.27E-13
TE3G25100,1843.228489,-0.571161351,0.078024148,-7.320315106,2.47E-13,7.30E-13
TE3G34320,413.1735134,0.853482302,0.116653587,7.316382862,2.55E-13,7.51E-13
TE3G09240,1095.779079,0.608510495,0.083186363,7.315027045,2.57E-13,7.59E-13
TE3G13960,927.312006,-0.610942628,0.083529961,-7.31405382,2.59E-13,7.64E-13
